"iso","umd_tree_cover_extent_2000__ha","umd_tree_cover_gain_2000-2012__ha"
"TTO",383107.93022977846,1600.5384910962998
"TUN",178455.2886545721,11495.95711882816
"TUR",8214009.526043745,178368.39359689486
"TUV",,
"TWN",2249939.7509051114,6129.042425288221
"TZA",9700637.443805164,304169.104426218
"UGA",3270233.1619913634,68426.17289208858
"UKR",9691026.364986636,353249.14654603327
"UMI",122.28830155078103,1.60809623923819
"URY",1387982.9323561203,498518.9297880969
"USA",244567020.39219835,13807331.914093098
"UZB",51377.91641270093,521.3084096657445
"VAT",3.456038088166034,
"VCT",27792.75112156343,20.093959162744927
"VEN",53746318.89794447,191091.96926174918
"VGB",6855.8742204327145,12.644083495736064
"VIR",17846.00533918922,399.1690212959566
"VNM",14759929.955974042,563928.2591192399
"VUT",1161473.771623622,1366.4225785982353
"XAD",335.82079768396545,3.3045054920050205
"XCA",92179.92051786826,31.525974928926672
"XCL",,
"XKO",334618.1822505486,5636.950586861619
"XNC",7631.233597431657,81.51879802024095
"XPI",,
"XSP",,
"YEM",9.800505156448086,4.267837688957569
"ZAF",3163002.167825101,830675.5847623628
"ZMB",9185039.509189475,18075.84738007375
"ZWE",293242.35335571296,48567.54911359141
